produto-id;id-acabamento;id-cor;id-fabricante;produto-imagem;produto-marca;produto-nome;produto-nome-resumido
89732944;2;6;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_acetinada_acabamento_de_seda_premium_gelo_3.6l_89732944_0001_600x600.jpg;Coral;Tinta Acrílica Acetinada Acabamento de Seda Premium Gelo 3.6L Coral;Tinta Acrílica Acetinada Acabamento de Seda...
90395746;2;1;5;https://cdn.leroymerlin.com.br/products/tinta_acrilica_acetinado_premium_perola_3.6l__90395746_0001_600x600.jpg;Luxens;Tinta Acrílica Acetinado Premium Pérola 3.6L Luxens;Tinta Acrílica Acetinado Premium Pérola 3.6L...
90372702;1;3;2;https://cdn.leroymerlin.com.br/products/acrilica_fosco_premium_fosco_completo_andiroba_18l_90372702_0001_600x600.jpg;Suvinil;Tinta Acrílica Premium Fosco Completo Andiroba 18L;Acrilica Fosco Premium Fosco Completo Andiro...
86881704;1;1;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_novacor_parede_standard_perola_18l__86881704_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Mais Rendimentoe Standard Pérola 18L Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Standard...
85430730;1;2;2;https://cdn.leroymerlin.com.br/products/tinta_latex_fosco_a_classica_maxx_camurca_18l_suvinil_85430730_0001_600x600.jpg;Suvinil;Tinta Látex Fosco a Clássica Maxx Premium Camurça 18L Suvinil;Tinta Látex Fosco a Clássica Maxx Camurça 18...
88568942;1;12;6;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_decora_paredes_rosa_classic_0.5l_88568942_0001_600x600.jpg;Ibratin;Tinta Acrílica Fosco Decora Paredes Premium Rosa Classic 0.5L Elegance;Tinta Acrílica Fosco Decora Paredes Rosa Cla...
89705896;1;3;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosca_total_sec_premium_pote_argila_3.6l_coral_89705896_0001_600x600.jpg;Coral;Tinta Acrílica Fosca Total S&C Premium Pote Argila 3.6L Coral;Tinta Acrílica Fosca Total S&C Premium Pote...
87173016;3;1;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_semibrilho_metalatex_brilho_perola_3.6l__87173016_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho Perfeito Premium Pérola 3.6L Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho P...
85438913;1;8;2;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_completo_premium_marfim_18l_suvinil_85438913_0001_600x600.jpg;Suvinil;Tinta Acrílica Fosco Completo Premium Marfim 18L Suvinil;Tinta Acrílica Fosco Completo Premium Marfim...
90319194;1;3;2;https://cdn.leroymerlin.com.br/products/suv_prot_total_fo_grisalho_18l_90319194_0001_600x600.jpg;Suvinil;Tinta Proteção Total Fosco Grisalho 18L Suvinil;Proteção Total Fosco Grisalho 18L
89705714;1;3;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosca_total_sec_premium_arquiteura_urbana_3.6l_coral_89705714_0001_600x600.jpg;Coral;Tinta Acrílica Fosca Total S&C Premium Arquiteura Urbana 3.6L Coral;Tinta Acrílica Fosca Total S&C Premium Arqui...
87253782;2;13;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_requinte_superlavavel_erva_doce_18_l__87253782_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Acetinado Metalatex Requinte Superlavável Premium Erva Doce 18L Sherwin Williams;Tinta Acrílica Requinte Superlavável Erva Do...
90319173;1;9;2;https://cdn.leroymerlin.com.br/products/suv_prot_total_fo_estrada_de_terra_18l_90319173_0001_600x600.jpg;Suvinil;Tinta Proteção Total Fosco Estrada de Terra 18L Suvinil;Proteção Total Fosco Estrada de Terra 18L
87247482;1;14;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_mel_3.6l_sherwin_williams_87247482_a2ae_600x600.jpeg;Sherwin Williams;Tinta Acrílica Fosco Perfeito Metalatex Premium Mel 3.6L Sherwin Williams;Tinta Acrílica Fosco Metalatex Mel 3.6L Sher...
