id;loja-id;produto-id;produto-link;produto-preco
106;1;89705945;https://www.leroymerlin.com.br/tinta-acrilica-premium-impermeabilizante-fosco-protecao-sol-e-chuva-algas-profundas-18l-coral_89705945;457
107;1;87653055;https://www.leroymerlin.com.br/tinta-acrilica-fosco-novacor-parede-mais-rendimento-standard-branco-20l-sherwin-williams_87653055;259
108;1;90396012;https://www.leroymerlin.com.br/tinta-acrilica-semibrilho-premium-cinza-chumbo-18l-luxens_90396012;379
109;1;89705616;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-gelo-3.6l-coral_89705616;110
110;1;89705882;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-pote-argila-18l-coral_89705882;375
111;1;90395424;https://www.leroymerlin.com.br/tinta-criativa-lencol-linho-5l-suvinil_90395424;148
112;1;89732825;https://www.leroymerlin.com.br/tinta-acrilica-acetinada-acabamento-de-seda-premium-rupestre-3.6l-coral_89732825;126
113;1;89339222;https://www.leroymerlin.com.br/tinta-acrilica-acetinado-metalatex-elastic-premium-branco-3.6l-sherwin-williams_89339222;115
114;1;87106236;https://www.leroymerlin.com.br/tinta-acrilica-fosco-kem-tone-economica-perola-3.6l-sherwin-williams_87106236;38
115;1;89336996;https://www.leroymerlin.com.br/tinta-acrilica-acetinado-metalatex-elastic-premium-branco-18l-sherwin-williams_89336996;365
116;1;88054330;https://www.leroymerlin.com.br/tinta-acrilica-acetinado-metalatex-requinte-superlavavel-premium-branco-20l-sherwin-williams_88054330;394
117;1;85052464;https://www.leroymerlin.com.br/tinta-acrilica-fosco-novacor-parede-mais-rendimento-standard-gelo-3.6l-sherwin-williams_85052464;74
118;1;90395466;https://www.leroymerlin.com.br/tinta-criativa-rio-serrano-5l-suvinil_90395466;148
119;1;87247531;https://www.leroymerlin.com.br/tinta-acrilica-fosco-perfeito-metalatex-premium-bianco-sereno-3.6l-sherwin-williams_87247531;92
120;1;89732951;https://www.leroymerlin.com.br/tinta-acrilica-acetinada-acabamento-de-seda-premium-gelo-18l-coral_89732951;459
121;1;89058046;https://www.leroymerlin.com.br/tinta-acrilica-fosco-protecao-total-premium-branco-18l-suvinil_89058046;469
122;1;87085411;https://www.leroymerlin.com.br/tinta-acrilica-fosco-perfeito-metalatex-premium-terracota-3.6l-sherwin-williams_87085411;92
123;1;89749765;https://www.leroymerlin.com.br/tinta-acrilica-fosca-premium-decora-cascalho-3.6l-coral_89749765;109
124;1;87109176;https://www.leroymerlin.com.br/tinta-para-litoral-acetinado-metalatex-verde-itacare-3.6l-sherwin-williams_87109176;116
125;1;89705672;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-algodao-egipcio-3.6l-coral_89705672;104
126;1;85052632;https://www.leroymerlin.com.br/tinta-acrilica-fosco-novacor-parede-mais-rendimento-standard-gelo-18l-sherwin-williams_85052632;241
127;1;89705980;https://www.leroymerlin.com.br/tinta-acrilica-premium-impermeabilizante-fosco-protecao-sol-e-chuva-areia-18l-coral_89705980;457
128;1;87639993;https://www.leroymerlin.com.br/tinta-acrilica-fosco-perfeito-metalatex-premium-vermelha-rustico-18l-sherwin-williams_87639993;335
129;1;90372751;https://www.leroymerlin.com.br/tinta-acrilica-premium-fosco-completo-andiroba-3.6l_90372751;109
130;1;88543630;https://www.leroymerlin.com.br/tinta-latex-fosco-diatex-pinta-mais-economica-branco-gelo-3.6l-iquine_88543630;47
131;1;87797311;https://www.leroymerlin.com.br/tinta-acrilica-fosco-perfeito-metalatex-premium-branco-20l-sherwin-williams_87797311;331
132;1;90372786;https://www.leroymerlin.com.br/tinta-acrilica-premium-fosco-completo-cashmere-3.6l_90372786;109
133;1;88543616;https://www.leroymerlin.com.br/tinta-latex-fosco-diatex-pinta-mais-economica-branco-neve-3.6l-iquine_88543616;47
134;1;85431325;https://www.leroymerlin.com.br/tinta-latex-fosco-a-classica-maxx-premium-gelo-3.6l-suvinil_85431325;95
135;1;86894262;https://www.leroymerlin.com.br/tinta-acrilica-fosco-novacor-parede-mais-rendimentoe-standard-marfim-3.6l-sherwin-williams_86894262;62
136;1;87247433;https://www.leroymerlin.com.br/tinta-acrilica-fosco-perfeito-metalatex-premium-bianco-sereno-18l-sherwin-williams_87247433;329
137;1;87738056;https://www.leroymerlin.com.br/tinta-acrilica-fosco-completo-tomate-seco-3.6l-suvinil_87738056;130
